OSEBuildingID,PrimaryPropertyType,PropertyName,Address,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,parking_area_prcnt,largest_property_GFA_prcnt,PropertyGFATotal_log,PropertyGFABuilding(s)_log,LargestPropertyUseTypeGFA_log,TotalGHGEmissions_log,SiteEnergyUse(kBtu)_log
25661,Small- and Mid-Sized Office,Buttnick City Loan,206 1st Avenue South,98104,5247800380,7,downtown,47.60071,-122.33377,1.1822985468956406,3.0,47215,0,47215,Office,23659.0,Retail Store,22376.0,,,,58.0,45.5,46.40000153,131.6000061,135.1000061,2092696.0,2136896.0,0.0,1597575.0,991813.0,False,,Compliant,,63.81,1.35,114,0.0,0.5010907550566557,10.76246691769717,10.76246691769717,10.071498871212288,4.155909917880256,14.553963744820617
25663,Other,East Precinct,1519 12th Ave,98122,6003500315,3,east,47.61492,-122.31728,1.0,2.0,61580,27000,34580,Other,36280.0,Parking,23154.0,,,,62.36363636363637,115.8000031,123.8000031,313.2000122,332.3999939,4199443.0,4489734.5,0.0,3327045.0,872398.0,False,,Compliant,,69.53,1.13,97,0.43845404352062356,1.0491613649508387,11.028092421478492,10.451030759237282,10.499021904229073,4.2417583141109265,15.250462455411295
25664,Small- and Mid-Sized Office,Ballou Wright Building,1517 12th Ave,98122,6003500330,3,east,47.61459,-122.31724,1.0,3.0,30720,0,30720,Office,29720.0,Retail Store,1000.0,,,,67.31799163179916,41.90000153,44.29999924,107.3000031,109.8000031,1288669.5,1361277.25,0.0,930084.0,358585.0,False,,Compliant,,25.53,0.83,106,0.0,0.9674479166666666,10.332669187261608,10.332669187261608,10.299575498831695,3.2398542312533927,14.069120848734826
25666,Mixed Use Property,(ID25666) POST OPTIONS,1122 E PIKE ST,98122,6003500340,3,east,47.61428,-122.31726,1.0,2.0,20640,0,20640,Retail Store,9750.0,Office,9212.0,Restaurant,2450.0,,58.82608695652174,19.29999924,19.29999924,60.5,60.5,412562.4063,412562.4063,0.0,412562.0,0.0,False,,Compliant,,2.88,0.14,107,0.0,0.47238372093023256,9.9349862195955,9.9349862195955,9.185022563991893,1.0577902941478545,12.930142761313997
25667,Mixed Use Property,Pike Building,1000 E Pike St,98122,6003500345,3,east,47.61421,-122.3193,1.0,2.0,34914,0,34914,Retail Store,14983.0,Restaurant,10638.0,Office,5837.0,,58.82608695652174,42.40000153,41.79999924,133.1000061,131.1999969,1333289.625,1314474.5,0.0,1333290.0,0.0,False,,Compliant,,9.29,0.27,111,0.0,0.4291401729965057,10.460643173884725,10.460643173884725,9.614671504043145,2.2289385528257473,14.103159848628739
25670,Small- and Mid-Sized Office,Legacy Pine Street,1535 11th Ave,98122,6003500395,3,east,47.61508,-122.31845,1.0,3.0,20897,0,20897,Office,10228.0,Retail Store,3433.0,Non-Refrigerated Warehouse,3400.0,,67.31799163179916,56.59999847,60.5,148.1999969,152.3000031,964923.8125,1031474.188,0.0,725243.0,239681.0,False,,Compliant,,17.79,0.85,117,0.0,0.48944824615973587,9.947360886980098,9.947360886980098,9.232884336411077,2.8786365016777435,13.779804426427145
25671,Retail Store,Capital Hill,1525 11th Ave,98122,6003500420,3,east,47.61478,-122.31847,1.0,2.0,36940,0,36940,Retail Store,36940.0,,,,,,100.0,9.100000381,9.100000381,28.60000038,28.60000038,336745.4063,336745.4063,0.0,336745.0,0.0,False,,Compliant,,2.35,0.06,107,0.0,1.0,10.517050253753231,10.517050253753231,10.517050253753231,0.8544153281560676,12.727082452902655
25672,Small- and Mid-Sized Office,Ten Sixteen East Pike Inc,1016 East Pike,98122,6003500440,3,east,47.61435,-122.31859,1.0,3.0,22866,0,22866,Office,22866.0,,,,,,67.31799163179916,50.5,53.09999847,133.1999969,135.8000031,1153690.125,1213909.875,0.0,877955.0,275735.0,False,,Compliant,,20.76,0.91,110,0.0,1.0,10.037406370101916,10.037406370101916,10.037406370101916,3.033028058297688,13.958476167461223
25673,Retail Store,The Ford Building,1521 10th Ave,98122,6003500470,3,east,47.61466,-122.31984,1.0,1.0,30240,0,30240,Retail Store,32205.0,Restaurant,714.0,,,,78.0,38.40000153,40.0,107.6999969,108.3000031,1264626.875,1316900.75,0.0,1061362.0,203265.0,False,,Compliant,,18.19,0.6,103,0.0,1.0649801587301588,10.31692083029347,10.31692083029347,10.379876998980992,2.900871992530031,14.050287676160053
25694,Other,W00342,801 NE 42ND,98105,4092301550,4,northeast,47.65729,-122.31937,1.0,2.0,28586,0,28586,Other,27022.0,,,,,,62.36363636363637,187.8999939,187.8999939,590.0999756,590.0999756,5078204.0,5078204.0,0.0,5078203.0,0.0,False,,Compliant,,35.4,1.24,61,0.0,0.9452879031693836,10.260672366469061,10.260672366469061,10.204406628019905,3.5667118201397288,15.440468213736409
